scenario_id,mc_run,error,mae_rt_sCFR,mciw_rt_sCFR,mcic_rt_sCFR,mae_rcf_sCFR,mciw_rcf_sCFR,mcic_rcf_sCFR,mae_rt_cCFR_cumulative,mciw_rt_cCFR_cumulative,mcic_rt_cCFR_cumulative,mae_rt_aCFR_cumulative,mciw_rt_aCFR_cumulative,mcic_rt_aCFR_cumulative,mae_rt_its,mciw_rt_its,mcic_rt_its,mae_rcf_its,mciw_rcf_its,mcic_rcf_its
S10,1,None,0.000321541097946465,0.0020530514491256323,1.0,0.000321541097946465,0.0020530514491256323,1.0,0.016269496029808574,0.0007084981895288566,0.005,0.012759212716442052,0.0017056571284592864,0.07,0.0005218330815824869,0.001554590155231842,0.69,0.0005218330815824869,0.001554590155231842,0.69
S10,2,None,0.00046403511078096926,0.002011652255896479,0.895,0.00046403511078096926,0.002011652255896479,0.895,0.016360725114758497,0.0006984978364209892,0.005,0.012951868449620051,0.001444445728434051,0.035,0.0017995332652306767,0.001059894314500037,0.2,0.0017995332652306767,0.001059894314500037,0.2
S10,3,None,0.0004437722382135689,0.0020768002588301897,0.925,0.0004437722382135689,0.0020768002588301897,0.925,0.01628422783810465,0.0007018914136305448,0.005,0.012770016834137825,0.0013656605402416221,0.055,0.002201666190585427,0.0027836235772526283,0.28,0.002201666190585427,0.0027836235772526283,0.28
S10,4,None,0.0005083055002614856,0.002086680592619814,0.86,0.0005083055002614856,0.002086680592619814,0.86,0.016433653047596253,0.0006934937524904705,0.005,0.013068094527989777,0.001310708749507472,0.035,0.000718912902751812,0.001352553380942321,0.535,0.000718912902751812,0.001352553380942321,0.535
S10,5,None,0.00029021172667853534,0.0020378354373387993,1.0,0.00029021172667853534,0.0020378354373387993,1.0,0.016312394189546803,0.0006998637847740665,0.005,0.012850234453831915,0.0013413658365387562,0.045,0.0006596175088539784,0.0017431583696418042,0.705,0.0006596175088539784,0.0017431583696418042,0.705
S10,6,None,0.0005296849994920194,0.0020047744871117172,0.805,0.0005296849994920194,0.0020047744871117172,0.805,0.016215933285546894,0.0007078030013585468,0.005,0.01277436440722116,0.001618703938876187,0.06,0.0006738732791271924,0.0017599966828263083,0.62,0.0006738732791271924,0.0017599966828263083,0.62
S10,7,None,0.0003098255256190896,0.002044273221399635,1.0,0.0003098255256190896,0.002044273221399635,1.0,0.01622537321954455,0.0007058278742273416,0.005,0.012631315654764464,0.001399094115906105,0.065,0.0003369575527225835,0.0019868035875425924,1.0,0.0003369575527225835,0.0019868035875425924,1.0
S10,8,None,0.0004107849963475019,0.0020968778675887734,1.0,0.0004107849963475019,0.0020968778675887734,1.0,0.016326526456859693,0.0007057359445703163,0.005,0.012794055745573837,0.0014394343378980312,0.07,0.0006455626660067082,0.0016364749162475433,0.655,0.0006455626660067082,0.0016364749162475433,0.655
S10,9,None,0.0002462028933223337,0.0020826675421558322,1.0,0.0002462028933223337,0.0020826675421558322,1.0,0.016251789363688235,0.0007133374911097243,0.005,0.012715261951979107,0.0021891213032365882,0.08,0.0005476209748391802,0.001423561607487081,0.7,0.0005476209748391802,0.001423561607487081,0.7
S10,10,None,0.00039894183282740414,0.002080589532153681,0.95,0.00039894183282740414,0.002080589532153681,0.95,0.01613989437635703,0.0007250520695508689,0.005,0.012701318599612819,0.0024178457623733104,0.075,0.0004736448256911896,0.0019010530596585964,0.9,0.0004736448256911896,0.0019010530596585964,0.9
