scenario_id,mc_run,error,mae_rt_sCFR,mciw_rt_sCFR,mcic_rt_sCFR,mae_rcf_sCFR,mciw_rcf_sCFR,mcic_rcf_sCFR,mae_rt_cCFR_cumulative,mciw_rt_cCFR_cumulative,mcic_rt_cCFR_cumulative,mae_rt_aCFR_cumulative,mciw_rt_aCFR_cumulative,mcic_rt_aCFR_cumulative,mae_rt_its,mciw_rt_its,mcic_rt_its,mae_rcf_its,mciw_rcf_its,mcic_rcf_its
S07,1,None,0.00020160626445431262,0.001786986722727306,1.0,0.00020160626445431262,0.001786986722727306,1.0,0.009961781468210109,0.0007287309775559423,0.01,0.006985314767384126,0.00173286183065262,0.075,0.00027229799457578296,0.0011889225226709207,0.945,0.00027229799457578296,0.0011889225226709207,0.945
S07,2,None,0.00042224914068356156,0.0017713824082165957,1.0,0.00042224914068356156,0.0017713824082165957,1.0,0.009822356255868064,0.0007418905677758788,0.01,0.006652666132931273,0.002536765892335589,0.105,0.0010855267806447874,0.0014210854476449596,0.33,0.0010855267806447874,0.0014210854476449596,0.33
S07,3,None,0.0003824666782747954,0.0017704707563389094,0.93,0.0003824666782747954,0.0017704707563389094,0.93,0.009898064813748638,0.0007452623674211457,0.01,0.007118705862014704,0.002855805747827163,0.1,0.0003415558163008465,0.0015973567304750093,0.98,0.0003415558163008465,0.0015973567304750093,0.98
S07,4,None,0.0003815183008555323,0.0017926193836610765,1.0,0.0003815183008555323,0.0017926193836610765,1.0,0.010021998518704396,0.0007312008412324794,0.01,0.007130513620255705,0.0023752922165848995,0.07,0.0004108041916130407,0.00152535450042664,0.86,0.0004108041916130407,0.00152535450042664,0.86
S07,5,None,0.00022051605628803372,0.0017547805297654124,1.0,0.00022051605628803372,0.0017547805297654124,1.0,0.010023237406201414,0.0007324596570613456,0.005,0.007026408797971816,0.001751436832740867,0.09,0.0003443191961292298,0.0011639759241882245,0.84,0.0003443191961292298,0.0011639759241882245,0.84
S07,6,None,0.0003595399030018598,0.0018049421247560528,1.0,0.0003595399030018598,0.0018049421247560528,1.0,0.009942534757604532,0.0007439047330851097,0.01,0.007178776647730259,0.0029031549687171744,0.09,0.0014857265361087595,0.0011748449049642769,0.15,0.0014857265361087595,0.0011748449049642769,0.15
S07,7,None,0.00037772266659885645,0.0018049061956116929,1.0,0.00037772266659885645,0.0018049061956116929,1.0,0.009865704944619587,0.0007356059393914324,0.01,0.006932268646032678,0.0016262360421097392,0.095,0.0004468525726918759,0.001224745008594023,0.66,0.0004468525726918759,0.001224745008594023,0.66
S07,8,None,0.0003522633633110672,0.0017580697773955762,1.0,0.0003522633633110672,0.0017580697773955762,1.0,0.009967157892183318,0.0007275622019209606,0.01,0.006998285261811228,0.001807403076781371,0.06,0.0003772405654345644,0.001561117217952126,0.895,0.0003772405654345644,0.001561117217952126,0.895
S07,9,None,0.00039330043364316225,0.001791173284174874,0.885,0.00039330043364316225,0.001791173284174874,0.885,0.009888306478816255,0.0007389351072266422,0.01,0.006749048787832298,0.0019093653598010432,0.09,0.0012100729742422062,0.0011612284606810654,0.155,0.0012100729742422062,0.0011612284606810654,0.155
S07,10,None,0.0002538851695135236,0.001816604639752768,1.0,0.0002538851695135236,0.001816604639752768,1.0,0.009842765601950122,0.0007409494345911832,0.01,0.006780194925016976,0.0025615121613688455,0.105,0.0004208616871402983,0.0014351117739863578,0.805,0.0004208616871402983,0.0014351117739863578,0.805
