scenario_id,mc_run,error,mae_rt_sCFR,mciw_rt_sCFR,mcic_rt_sCFR,mae_rcf_sCFR,mciw_rcf_sCFR,mcic_rcf_sCFR,mae_rt_cCFR_cumulative,mciw_rt_cCFR_cumulative,mcic_rt_cCFR_cumulative,mae_rt_aCFR_cumulative,mciw_rt_aCFR_cumulative,mcic_rt_aCFR_cumulative,mae_rt_its,mciw_rt_its,mcic_rt_its,mae_rcf_its,mciw_rcf_its,mcic_rcf_its
S01,1,None,0.0003043108736164868,0.0019293982696253805,1.0,0.0003043108736164868,0.0019293982696253805,1.0,0.005275587000276728,0.0006678283754903208,0.0,0.0003765349713448726,0.0024035847789661553,1.0,0.0002596718278380549,1.0282559738377523e-08,0.0,0.0002596718278380549,1.0282559738377523e-08,0.0
S01,2,None,0.00024643511278554797,0.001813803940778598,1.0,0.00024643511278554797,0.001813803940778598,1.0,0.005064033724105261,0.0006697931566076013,0.0,0.00036939929281622777,0.0017427646463797917,0.995,0.0004481526580358471,0.001935593962636738,0.905,0.0004481526580358471,0.001935593962636738,0.905
S01,3,None,0.00025769072817638516,0.0018312918494921176,1.0,0.00025769072817638516,0.0018312918494921176,1.0,0.005164558318294669,0.0006658808531650735,0.0,0.00036893387712680034,0.0016475281070073122,0.995,0.00020125749269272352,0.0014235736769262703,1.0,0.00020125749269272352,0.0014235736769262703,1.0
S01,4,None,0.00035090543678961694,0.001880054009146988,1.0,0.00035090543678961694,0.001880054009146988,1.0,0.005264064161111487,0.0006631997450552885,0.0,0.00046261775228594065,0.001840157082361792,0.995,0.0001629140377203193,0.0009136577600107227,1.0,0.0001629140377203193,0.0009136577600107227,1.0
S01,5,None,0.0003197160258423537,0.001845343462890014,0.97,0.0003197160258423537,0.001845343462890014,0.97,0.005060247647596158,0.0006706843827936989,0.0,0.00043455445277222615,0.002384884131639559,1.0,0.00040328531553769864,0.001480514549092265,0.85,0.00040328531553769864,0.001480514549092265,0.85
S01,6,None,0.00042227766243740916,0.0018230771425878627,0.965,0.00042227766243740916,0.0018230771425878627,0.965,0.005235599161439105,0.0006604234369909295,0.0,0.0004094744121347156,0.0017164340416409502,0.98,0.0010443336591185587,0.0010623585433108796,0.6,0.0010443336591185587,0.0010623585433108796,0.6
S01,7,None,0.0003675427578855306,0.0018237670490052552,1.0,0.0003675427578855306,0.0018237670490052552,1.0,0.005407021640723276,0.0006644903478706245,0.0,0.0006130779293423052,0.00186425862896386,0.7,0.0002182164511332406,0.000929524133691711,0.855,0.0002182164511332406,0.000929524133691711,0.855
S01,8,None,0.00037182652158662677,0.0018725283727981151,1.0,0.00037182652158662677,0.0018725283727981151,1.0,0.0050878619988620226,0.0006677128752131064,0.0,0.0003907733992407514,0.0017384010316418026,0.995,0.00017951450372336502,8.348260623654639e-08,0.0,0.00017951450372336502,8.348260623654639e-08,0.0
S01,9,None,0.0001979530934477225,0.0017755117712076754,1.0,0.0001979530934477225,0.0017755117712076754,1.0,0.00507406376258854,0.0006707919285216146,0.0,0.0004583341715117407,0.0017905301184350142,0.995,0.00018325148161717805,0.0009007683486100863,1.0,0.00018325148161717805,0.0009007683486100863,1.0
S01,10,None,0.00040877913124859333,0.0018691118757706137,1.0,0.00040877913124859333,0.0018691118757706137,1.0,0.005093957051206941,0.0006709989422562414,0.0,0.0004225410907322466,0.001731217466756896,0.975,0.00016834737573198478,0.0010004037114991584,1.0,0.00016834737573198478,0.0010004037114991584,1.0
